Samples,Actb ,Adam10 ,Adam33 ,Alk ,Angpt2 ,Ankk1 ,Aqp1 ,Bambi ,Bdnf ,Bmpr1a ,Bmpr1b ,Ccl19 ,Ccr4 ,Ccr5 ,Ccr7 ,Ccr8 ,Cdh11 ,Cdh2 ,Cdh6 ,Cdh7 ,Cfc1b ,Col2a1 ,Cxcl12 ,Cxcr4 ,Cxcr5 ,Dlx5 ,Dsp ,Ednra ,Elav4 ,Epha1 ,Epha2 ,Epha3 ,Epha4 ,Epha6 ,Ephb1 ,Ephb3 ,Erbb2 ,Fgf4 ,Fgf8 ,Fgfr1 ,Fgfr2 ,Fgfr3 ,Foxd3 ,Gapdh ,Gpc3 ,Hand2 ,Hprt ,Il8 ,Isl1 ,Itga1 ,Itga4 ,Itga6 ,Itga9 ,Itgav ,Itgb1 ,Itgb5 ,Kdr ,Krt15 ,Mbp ,Mitf ,Mmp2 ,Mmp9 ,Msx1 ,Ncam2 ,Nedd9 ,Nefm ,Nes ,Notch1 ,Nrg1 ,Nrg2 ,Nrp1 ,Nrp2 ,Pax3 ,Pcdh1 ,Pcdh19 ,Pdgfrl ,Perp ,Phox2b ,Pkp2 ,Rhoa ,Robo1 ,Robo2 ,Rplpo ,Runx2 ,Slit1 ,Slit2 ,S0il1 ,Sox10 ,Spon1 ,Tfap2a ,Tgfbr1 ,Th ,Uncb5 ,Vcam ,Wisp1 ,Ywhaz ,
2hrs VEGF_6,-1.73E-02,-6.65E-01,1.23E-01,0,0,-1.41E-01,1.55E-01,6.79E-01,-2.79E-01,0,-1.49E-01,0,0,0,0,-3.64E-01,-5.31E-01,-2.02E-01,0,-7.72E-01,0,-8.03E-01,2.70E-01,-3.44E-01,-7.73E-01,0,1.27E-01,0,0,0,-5.34E-01,0,-1.77E-01,0,-1.55E-01,-8.76E-02,-8.28E-02,0,0,-3.86E-01,2.18E-01,-2.22E-01,-4.19E-01,8.25E-02,4.28E-01,0,6.32E-03,0,0,0,-4.04E-01,0,-6.49E-01,0,-4.47E-01,-1.34E-01,0,-9.13E-02,0,0,-1.85E-01,0,0,0,2.52E-01,-4.75E-01,2.06E-01,-3.56E-01,0,0,-1.40E-01,-5.95E-01,-1.13E-01,-5.01E-01,-3.48E-01,-2.19E-02,0,0,1.79E-01,-6.52E-02,-2.95E-01,0,-2.91E-01,0,0,5.45E-01,7.33E-02,-2.25E-01,-4.37E-01,-3.20E-01,0,0,0,0,0,1.85E-01,41
2hrs VEGF_7,-1.21E-01,-6.37E-02,0,0,0,0,6.66E-01,3.25E-01,-3.77E-01,3.31E-01,-1.09E-01,0,1.11E-01,1.50E-01,1.17E+00,2.97E-01,-4.89E-01,-3.72E-01,0,-1.12E-01,5.41E-01,-1.57E-01,-3.68E-01,2.59E-01,-2.24E-02,0,0,0,0,0,3.23E-01,0,-4.36E-01,0,-5.57E-02,-1.49E-01,0,0,0,-4.56E-01,-8.65E-02,-8.30E-02,2.20E-01,1.13E-01,4.54E-01,0,-4.48E-02,7.66E-01,0,0,1.26E-01,0,-7.65E-01,0,-3.67E-01,0,0,3.53E-01,0,0,-1.76E-01,0,0,0,0,1.13E-01,1.06E-01,-3.77E-01,0,0,-2.69E-01,-2.29E-01,3.15E-01,-2.72E-01,0,7.21E-01,0,6.45E-01,4.02E-01,8.11E-03,-2.86E-03,0,-1.37E-01,0,0,0,0,1.60E-01,-3.04E-02,2.63E-01,0,0,3.57E-01,0,0,8.42E-01,42
16 min no VEGF_2,8.53E-02,-5.61E-01,-4.81E-01,5.45E-02,-1.07E+00,-2.20E-01,-4.87E-01,-6.42E-01,-1.24E+00,-2.88E-01,-3.68E-01,0,-1.59E+00,0,0,-1.02E+00,-6.37E-01,-3.61E-01,-4.83E-01,-1.48E+00,-8.75E-01,-6.91E-01,-5.42E-01,-1.90E-01,0,0,-1.30E-01,-7.84E-01,-8.27E-01,-5.52E-01,-1.10E-01,-5.39E-01,-3.17E-01,0,-5.93E-01,-8.37E-02,-1.66E-01,0,-2.49E-01,-2.08E-01,-1.08E-01,-3.12E-01,-1.29E+00,4.29E-02,-7.07E-01,0,-2.96E-01,0,0,-5.86E-01,-1.42E+00,-4.89E-01,-7.46E-01,-2.88E-01,-4.22E-01,-2.62E-01,-2.15E-01,-6.94E-01,0,-1.84E-01,3.16E-01,0,-1.38E+00,0,4.40E-02,-1.49E+00,-1.29E-01,-3.12E-01,0,0,-2.69E-01,-3.95E-01,-1.02E+00,-7.12E-01,-1.19E-01,-5.58E-01,-8.71E-01,0,-7.75E-01,-1.28E-01,-7.70E-01,-3.78E-01,-1.70E-01,-3.01E-01,-7.59E-01,2.53E-01,9.67E-02,-1.36E+00,1.44E-01,-7.58E-01,-2.76E-01,0,-7.57E-01,0,0,-1.88E-01,19
16 min no VEGF_3,-6.52E-02,-1.93E-01,7.61E-02,2.61E-01,-3.73E-01,-4.80E-02,-5.18E-01,-4.66E-01,-3.28E-01,-2.21E-01,-1.40E-01,0,-7.75E-01,-8.20E-01,6.27E-02,-3.73E-01,-1.44E-01,-1.23E-01,-3.59E-01,-2.54E-01,-5.07E-01,1.56E-01,5.82E-02,-1.31E-01,-3.01E-01,0,-2.97E-01,-2.86E-01,-6.92E-01,0,9.12E-02,2.50E-01,-2.93E-01,0,-5.82E-02,-7.87E-02,-1.46E-01,0,0,-2.36E-01,3.31E-01,-3.80E-02,-3.33E-01,4.48E-02,-3.27E-01,-1.25E-01,-2.11E-01,0,8.96E-02,0,-3.35E-01,-2.09E-01,9.56E-03,-2.19E-02,-1.24E-01,9.30E-02,-6.47E-02,-6.27E-01,0,-5.57E-01,5.00E-01,-6.27E-01,-1.00E+00,0,-2.98E-01,-4.68E-01,-1.18E-01,1.93E-03,0,0,3.77E-01,1.83E-01,-3.52E-01,1.20E-01,-7.41E-02,6.79E-02,0,-4.26E-01,-5.49E-01,2.04E-02,-5.37E-02,-9.84E-02,-2.39E-01,-9.16E-02,-2.59E-01,6.38E-02,-2.02E-01,-1.77E-02,2.65E-01,-5.62E-01,-1.68E-01,0,-5.79E-01,0,0,3.95E-02,16
02 min no VEGF_2,5.25E-02,-1.10E-01,-4.60E-01,0,-4.87E-01,4.27E-01,3.35E-02,-2.51E-01,-8.17E-01,3.51E-02,-6.68E-01,0,-5.52E-01,-5.09E-01,2.79E-01,-3.01E-01,5.92E-02,-3.02E-01,-4.02E-01,2.75E-01,0,1.54E-01,-7.61E-01,-2.39E-02,-5.89E-01,0,-5.79E-02,-5.90E-01,0,0,-3.08E-02,0,1.99E-01,0,-5.35E-01,2.80E-01,-5.03E-02,0,0,-3.30E-01,-7.06E-01,-6.74E-01,-1.19E-01,9.92E-02,-9.57E-02,0,-1.33E-01,2.54E-01,0,-1.95E-01,1.89E-01,4.60E-02,-1.90E-01,-3.05E-01,-4.47E-02,-1.60E-01,0,0,0,-4.65E-01,-5.58E-01,0,-3.26E-01,0,-3.52E-01,-8.07E-01,3.75E-02,-3.60E-02,0,-5.71E-02,-4.09E-01,2.24E-01,2.70E-01,1.07E-01,-6.57E-01,-2.85E-01,0,0,-4.02E-01,-1.52E-01,9.00E-02,-4.97E-01,-1.15E-01,0,-2.97E-01,-2.25E-01,-3.08E-01,2.78E-02,-8.96E-02,-1.10E-02,-2.26E-01,0,0,0,0,-1.72E-01,25
02 min no VEGF_3,2.05E-01,-2.43E-01,-2.25E-01,0,0,0,0,-6.23E-02,-8.56E-01,1.50E-01,0,0,-8.93E-01,-2.04E-01,4.60E-01,-2.57E-01,-5.72E-01,-2.25E-01,0,-3.20E-01,-7.47E-02,-1.45E-01,-6.60E-01,-2.20E-02,-7.81E-01,0,1.23E-01,0,0,0,-5.12E-02,0,-6.20E-01,0,-6.75E-03,-2.31E-01,1.06E-01,0,1.52E-01,-1.47E-01,-8.05E-02,-2.12E-01,-2.26E-01,2.12E-02,1.89E-01,0,-7.57E-01,3.85E-01,0,0,-2.54E-01,-1.34E-01,-3.96E-01,-2.75E-01,-4.38E-01,-1.77E-01,2.58E-01,-1.57E-01,0,0,-4.98E-01,0,0,0,0,1.81E-01,8.79E-03,-2.41E-02,0,0,0,-3.59E-01,-2.91E-01,4.91E-02,-4.36E-01,-5.56E-01,0,0,-1.20E-01,-2.27E-01,-1.72E-01,-6.22E-01,-2.21E-01,0,-2.47E-01,-3.16E-02,-2.97E-02,1.99E-01,-4.64E-02,-1.28E-01,6.68E-02,0,0,0,0,2.39E-02,33
30 min no VEGF_1,1.86E-01,-2.67E-01,-3.50E-01,-5.52E-01,-1.58E+00,-4.10E-01,-1.25E+00,-1.02E+00,-1.62E+00,-1.21E-01,-6.95E-01,0,-2.19E+00,-2.13E+00,-1.20E+00,-2.63E+00,-5.32E-02,-6.60E-01,-3.87E-01,-4.37E-01,-7.80E-01,-4.65E-01,-9.30E-01,-2.74E-01,-2.63E+00,0,-1.53E-01,-7.76E-01,-1.80E+00,-1.09E+00,-1.51E-01,-1.20E+00,-4.90E-01,0,-9.35E-01,-4.01E-01,-6.70E-01,0,-1.13E+00,-5.55E-01,-4.07E-01,-5.55E-01,-3.28E-01,1.59E-01,-9.29E-01,-1.72E+00,-6.08E-01,4.78E-01,-8.60E-01,-9.16E-01,6.03E-02,-2.25E-01,-4.85E-01,-1.66E-01,-3.71E-01,-1.15E-01,-1.16E-01,-9.10E-01,0,-2.96E-01,-6.11E-01,-1.27E+00,-2.18E+00,-1.24E+00,-5.29E-01,-1.24E+00,-9.17E-01,-7.80E-01,0,0,-3.14E-01,-1.83E-01,-3.86E-01,1.25E-01,-7.93E-01,-1.17E+00,-1.21E+00,-1.56E+00,-1.87E+00,-3.46E-01,-7.49E-02,-6.76E-01,-4.20E-01,-9.51E-01,-4.47E-01,-4.15E-01,-7.63E-01,6.75E-02,-1.96E-01,-8.63E-02,-4.08E-01,0,-9.36E-01,0,0,-3.60E-01,10
30 min no VEGF_2,1.70E-01,-8.29E-02,-1.53E-01,7.23E-02,0,-1.79E-01,-7.17E-01,-6.27E-01,-1.11E+00,2.18E-01,-6.06E-01,0,-1.85E+00,-1.43E+00,0,-1.51E+00,1.38E-01,-2.71E-01,-2.83E-01,-2.06E-01,-7.35E-01,-1.66E-01,-9.79E-01,-9.90E-02,-1.55E+00,0,-4.13E-02,-4.29E-01,-1.52E+00,-1.09E+00,1.64E-02,-1.11E+00,5.33E-02,0,-3.94E-01,4.47E-02,-1.01E-01,0,-1.04E+00,-3.01E-01,-4.61E-01,-3.14E-01,-2.47E-01,1.65E-01,-7.10E-01,0,-5.87E-01,4.46E-01,0,-6.21E-01,1.41E-01,8.17E-02,-3.18E-01,-1.11E-01,-1.64E-01,-8.56E-02,-1.77E-01,-7.83E-01,0,-2.87E-01,-4.45E-01,-9.50E-01,0,-5.25E-01,-4.91E-01,-7.37E-01,-3.03E-01,-3.28E-01,-8.59E-01,0,-9.48E-02,1.89E-02,-2.14E-01,3.81E-01,-6.77E-01,-6.08E-01,-9.33E-01,-9.50E-01,-1.41E+00,-3.35E-01,9.79E-02,-3.52E-01,-2.86E-01,-6.29E-01,9.63E-02,-2.43E-01,-8.66E-01,-1.12E-02,4.68E-02,-9.40E-02,-1.34E-01,0,-5.87E-01,0,0,-2.40E-01,14
45 min no VEGF_1,3.60E-02,2.13E-01,3.67E-01,0,-1.31E-02,6.60E-01,5.98E-01,1.07E-01,-2.08E-01,9.77E-02,-4.56E-02,0,1.32E-01,2.56E-01,5.91E-01,-1.86E-01,2.47E-01,4.27E-02,0,-1.66E-01,0,4.04E-01,-1.80E-01,2.08E-01,2.46E-02,0,-1.79E-02,0,0,0,2.40E-01,-2.73E-01,-9.28E-02,0,-1.03E-01,3.06E-01,3.22E-01,0,0,-5.46E-02,-1.25E+00,1.29E-01,-3.16E-02,1.30E-01,1.67E-01,7.54E-02,-2.85E-01,0,0,3.13E-01,4.52E-01,3.10E-01,-2.56E-01,-5.06E-01,1.44E-01,2.35E-01,5.71E-01,0,0,1.95E-01,-4.12E-01,0,0,0,1.52E-01,-1.12E+00,-4.09E-01,1.70E-01,0,0,5.94E-02,3.11E-01,2.22E-02,5.57E-01,8.94E-02,-6.47E-03,-5.64E-02,0,9.08E-02,-1.66E-01,1.68E-01,1.28E-02,-1.47E-01,0,6.97E-02,0,0,1.39E-01,1.17E-01,-1.72E-01,-6.46E-02,0,-5.84E-01,0,0,-9.94E-02,27
45 min no VEGF_3,1.09E-01,-1.35E-01,-1.79E-02,3.18E-01,-1.17E+00,1.88E-02,-6.70E-01,-5.89E-01,-1.17E+00,-1.65E-02,-2.00E-01,0,-1.59E+00,-1.03E+00,-7.17E-01,-1.14E+00,8.04E-02,-3.07E-01,-1.73E-01,-1.29E-02,-8.36E-01,4.58E-02,-2.70E-01,-3.23E-01,-1.50E+00,0,-2.16E-01,-2.25E-01,-1.16E+00,-8.37E-01,-1.28E-02,-1.90E-01,-2.07E-01,0,-2.02E-01,-3.29E-03,-1.55E-01,0,-5.96E-01,-2.27E-01,1.58E-02,6.09E-03,-1.90E-03,1.25E-01,-8.39E-01,0,-4.88E-01,-6.31E-01,-5.91E-02,-8.13E-01,6.17E-02,1.66E-01,2.82E-02,-5.45E-03,-7.29E-02,3.94E-01,-5.12E-01,-7.90E-01,0,-3.58E-02,3.18E-01,0,-1.02E+00,-2.50E-01,-4.39E-01,-9.30E-01,-1.89E-01,9.64E-02,0,-1.30E-01,1.68E-01,8.94E-02,-9.14E-02,4.51E-01,-3.41E-01,-1.80E-01,-9.98E-01,0,-9.53E-01,-2.34E-01,-5.84E-02,-3.90E-02,-1.51E-01,-1.00E-01,-1.64E-01,-3.46E-01,-5.56E-01,6.26E-02,1.35E-01,-3.22E-01,-4.42E-01,0,-5.09E-01,0,0,-2.09E-01,12
